review,service
"il vaut mieux réparer les pannes avant de faire du marketing!
Nous vous informons que votre réclamation a été signalée au service concerné sous la référence 1-51653314727.",st
"plus qu'un mois sans ligne téléphonique, +eurs réclamations sans suite , vous méprisez vos clients ,promesse d'intervention non respecté",sc
"30 jours sans adsl, 7 réclamations et des incompétents à la tête d'une société qui ne sait faire qu'emmerder ses clients.",sc
"2 ans à vous courir après poir me reparer un debit upstream de 0,083 Mb ... Je m'en fou de la 5G",adsl
Quelle service de maintenance 21 jours sans fix et internet ,st
"Encore une fois coupure du fixe et de l""internet",adsl
"Je remercie Tunisie Télécom pour leur intervention, il s'est avéré que c'était un problème majeur, ils ont tout fait pour le résoudre. Tout est rentré dans l'ordre maintenant un grand bravo Tunisie Télécom.",st
j'ai contacté le service technique pour réparer la panne après 4 jours de la coupure me disait il fait mauvais temps en peut pas et voila ça fait une semaine tout le quartier sans téléphone ni internet et période de révision et examen imaginer comment il veulent instaurer le --à distance-- avec cette misère,st
Tout abonnement internet Tunisie Télécom je vous le déconseille ils sont incapables de maintenir leur réseau je vous le conseille par expérience.,st
"Tunisie Télécom
Concernant wifi si vous ne répondez aux clients pourquoi il exicte le numero service client !!!!",sc
Un jour de plus sans connexion déjà 8 jours évidemment payé +ADSL +IP TV et tunisie Télécom toujours absente pour réparer leur câble. Alors prenez garde de ce que vous attend.,st
Bonjour je continue de donner des nouvelles sur mon expérience avec tunisie Télécom pour être un avis en temps réel pour les intéressés des offres qu'elle propose déjà 9 jours sans connexion et les abonnements attachés alors je déconseille l'option tunisie Télécom je la note 0/10.,adsl
Un jour de plus sans connexion déjà 8 jours évidemment payé +ADSL +IP TV et tunisie Télécom toujours absente pour réparer leur câble. Alors prenez garde de ce que vous attend.,st
"Comment ça se fait qu’on peut pas contacter le service technique concerné d’une entreprise de télécommunications
Par téléphone ou par mail ?????
Et cerise sur le gâteau on me demande de payer même si on a pas le service internet pour pouvoir continuer à réclamer la coupure.",st
"Je comprends pas vous parlez de l’évolution de tunisie Telecom
Le pire plan en Tunisie
Connexion internet en dérangement depuis 3mois
Service technique qui reçoit les abonnés depuis une fenêtre à l’extérieur de l’établissement même si il pleut dehors!!! On doit subir a tout cette humiliation et toujours sans résultat",st
"Est ce que c'est normal de couper la ligne d'un cabinet médical ?!!! Pour une facture de 40 dt !!
Et pour info, je me suis connectée à maintes reprises pour payer en ligne, cette facture n'existe pas.
Faut-il que j'arrête mon travail pour aller payer dans une agence?!!
Shame on you",sc
Aucune intervention déjà une semaine sans connexion,st
"Je me demande est ce que les équipes de service technique de Tunisie Télécom sont infectés par COVID-19 ou quoi? Il sonne sur les numero téléphoniques ci-dessous et pas de reponse!
71841678
71933740
71933950",st
"Arretez de nous vendre des reves ,je risque perdre mon travail grace à votre incompétence et à vos agents .durants deux semaines 4 jours perdues de mon travaille .qui va me les payer qui va me garantir mon poste .? Aucune reponse ma ligne est accrochée sur une branche darbre le moindre vent je suis déconnectée vos agents de kelibia et menzl temim sont incompétents,vous etes nulle et je vais porter plainte contre vous",sc
"Service facturation ne répond jamais aux mails. Le jour, ou ils ont envoyé la facture par mail, quand je clique dessus, une facture au nom d’une personne qui s’ouvre.
J’arrive pas à me connecter , malgré la réception de la confirmation du mot de passe.",ef
Service client nuuuuuul j'ai acheté un mobile wifi qui m'a coûté plus de 100 dinars que je dois jeter parceque tunisie TELECOM n'a pas prévu qu'un jour il faut changer la batterie du mobile wifi et pour couronner le tovut aucune agence Télécom ne vend ces batteries est-ce que c'est normal....,sc
Mais vous êtes catastrophique c'est vraimenet honteux comment vous traitez les demandes de vos abonnés... à chaque fois vous prouver que vous êtes mal organisé et que votre SAV est le pire au monde... vous suivez envore un modèle qui date depuis des années et des années.... la débilité des process .... l'incompétence des techniciens que vous envoyez ..... vraiment vous êtes nuls .... je suis très déçue de votre qualité de service... j'ai déposé ma demande depuis le mois d'août et j'ai toujours pas de synchro .. personne ne répond.. personne n'intervienne.... a dieu ce pays misérable ,st
Les cartes TT s'épuisent sans avoir fait une seule communication ! C du vol.,fm
 qualité de service mediocre. Reclamation faite depuis plus de10 jours sans réponse,sc
réparez tout d'abord les ligne adsl depuis le mois de septembre en panne d ADSL aucune reponse ni du fournisseur ni votre part,adsl
Depuis 13 jours j'ai fait une réclamation mais sans réponse problème de connexion quand il va être réparé que Dieu le sait..............,sc
"demande validé depuis le 1er octobre , bientot 2 mois et toujours pas d'internet .. que des promesses.. services clientles non professional",sc
"Ça va faire 4mois que je rèclame le dèrangement de ma ligne et je paye le service comme même
Septembre octobre novembre et décembre sans connexion internet et le comble
Il faut que je continue à payer 💰 pour pouvoir poursuivre les réclamations!!!!",sc
"Commencez d’abord par activer votre service client! On arrive même pas à vous joindre par téléphone! Vous êtes tout simplement ridicule.
Procédure de résiliation de contrat inbox please !",sc
dommage ma ligne a ete reparee et apres 24 h s'est tombee encore une fois en panne et maintenant elle est derangee,st
Qurl connexion a distance ? Depuis plus de 10 jours je vous appelles pour mon clé 3G qui ne fonctionne plus et vous ne faites rien !!! Aujourd'huit j'ai découvert que les reclamation ne sont pas passés . Services client merdique !!!,sc
"C'est grave j attend la reprise de mon abonnement ADSL depuis le mois de septembre instance technique svp travailler le service technique de Ben , arous mhamdia pourquoi ca? je suis en télétravail n'y",st
" Les délais de traitement des dérangements ADSL.. Pas moins que 10 jours. Aussi les délais de traitement des nouveaux demandes ADSL (plus que 30 jours.. Même y a des demandes qui dépasse les 60 jours et plus) mais le pire c'est les délais de validation des constructions lignes (au minimum 10 jours ouvrables..), mais y a l'exception pour un seul FSI (moins de 10 jours ooop modem connecté). C'est la honte au niveau CCL SIDI BOUZID. Merci de prendre les choses au sérieux..",adsl
Service catastrophique 21 jours la ligne téléphonique est en panne plusieurs réclamations et la Tunisie télécom est toujours absente,sc
"Bonjour Tunisie Télécom
Svp veuillez intervenir le plus vite possible je suis en télétravail",sc
"Bsr! Ça fait un mois que j'ai des problèmes de connexion et depuis 1 mois aucun agent n'est passé chez moi j'ai déjà appelé le service client il ne décroche plus mes appels
71256006",sc
J'ai passer une commande adsl wafi j'ai brancher modem depuis le 26/10 et jusqu'à maintenant voyant internet clignote toujours en rouge??,adsl
"Ça fait 4 jours que j'ai perdu la connexion. Après avoir fait le nécessaire avec mon opérateur internet, il s'est avéré que le problème c'est le port de télécom. Et la mésaventure a commencé. J'ai passé 4 ou 5 réclamations à travers mon opérateur internet. J'ai contacté Tunisie Télécom agence Ariana et j'ai passé une autre réclamation. En vain !!",sc
"Service très nul 👎 malheureusement, pas d’internet depuis 2 semaines zt j'ai passé pas mal de fois des réclamations w chay !!",sc
"bonjour , jai fait une nouvelle demande de ligne et j'attend encore le technicien , on m'a appelé samedi dernier mais personne n'est passé, merci de me confirmer si la demande est en cours ou annulée comme dab",st
"Bonsoir, j'ai passer une demande pour offre waffi , mais après 1 mois ,aucun retour. Est-ce que comme ça on traite le client !!!???",sc
Service client depuis hier saturé et le client qui paie ses factures et ne bénéficie pas de connexion internet? Il fait quoi?!,sc
Nous habitants de bab souika précisément rue kochbati et impasses y afférentes nos lignes de téléphone ainsi qu'Internet sont coupées depuis plus 6h.... depuis cette matinée nous n'avons pas pu joindre vos services...Merci d'intervenir en urgence,sc
service paiement via net ne fonctionne pas depuis hier... comment faire?????,ef
J’ai réclamé un problème de débit depuis 2 mois... rien!!! Maintenant déjà 3 jours sans internet on a appelé TOUT LE MONDE et la réponse est : les techniciens sont une sous’ traitance donc on ne vous garantit pas qu’ils vont se déplacer...donc bien sûr Rien de rien!!!,st
"Bonjour
Des réclamations sans suite
Encore plus J'ai fait une relance depuis le web, encore rien.
Plutôt pire encore il clôture la réclamation sans rien faire ...puuuf",sc
 debit presque 0 pendant plus d une semaine et le technicien me répond qu on ne peut rien faire il faut attendre l 'entrepreneur pour faire les réparations.,sc
MON CONNEXION VDSL 20 MEGA WAFFI NE MARCHE PAS DEPUIS LE JOUR OU JAI PRIS MON MODEM,adsl
"votre service technique est nul !
j'ai reçu le modem depuis le 2 septembre et j'attends toujours l'activation de la ligne telephonique (même pas l'internet!!!!)
suite à un contact direct avec l'agence, on me disait qu'une équipe se déplacerai le jours même pour vérification de l'installation, mais vous pouvez imaginer le reste de l'histoire ...",st
"Service très nul 👎 malheureusement, pas d’internet depuis 2 semaines j'ai passé pas mal de fois des réclamations w chay !!",sc
"Bonjour, je n’ai pas de connexion depuis deux jours aujourd’hui c’est le troisième jour apparemment il s’agit d’un problème à la centrale Ennasr 2. J’ai passé deux réclamations et Personne n’est venu comme on me l’a dit. Je travaille à distance avec des étrangers et depuis deux jours je suis en congé malgré moi !! Comment leur expliquer brabi que dans mon pays un problème de connexion peut persister trois jours ?",sc
"Moi je pense que je vais mettre fin de contrat avec la telecom. Vous manquez de professionnalisme. J'ai fait 3 réclamations pour régler la tonalité du tel fixe qui a causé une coupure de connexion. Sachons que je suis entrain de perdre mon boulot à cause de vous puisque je fais le télétravail. Bref, je ne vais pas payer une facture sans avoir pu profiter de la connexion.... Service de merde!",sc
"Bonjour ça fait à peu près 4 mois où j'ai déposé une demande de ligne fixe
Mais suite à un problème technique de vos travaux incomplets on arrive pas à me joindre au réseau
Déjà vous avez l'exclusivité des ligne fixe et vous ne pouvez pas assurer les travaux une personne comme moi qu'est ce qu'elle fait mettez vous à ma place sans communication sans internet vraiment je vous sollicite de bien vouloir prendre ma plainte au sérieux Et je serai reconnaissante merci",st
Pas Internet a El Mourouj depuis mardi dernier on cherche rien que de l'internet,adsl
Je voudrais remercier les agents de Tunisie Telecom et les sociétés qui sous traite les réclamations techniques pour leur réactivité suite à notre réclamation. Une équipe s’est déplacé et notre activité a pu reprendre Grand merciii . And Keep it up !! Merciiii beaucoup! ,st
"Je suis abonné TT offre waffi VDSL 20Mega sous num:72.682.434 a zaghouan depuis 18 mars 2021
Jé recu le modem 22 mars et jlé branché et de ce jour jé pas d'accés INTERNET
Jé contacté le service technique centaine de fois ,le service technique en ligne pas mal de fois ,je contacté la direction régionale de TT a zaghouan pas mal aucune réponse,service nul",st
"Svp veuillez intervenir sur la ligne 71600130
Pas de connexion depuis le matin
Svp je suis en télétravail
Abonnement VDSL 20 Mega",adsl
TT meilleur service technique,st
 excellent service technique de Tunisie Télécom,st
Très satisfait de la rapidité wifi ,adsl
Mise en service 4 jours d'attente ,sc
Ma ligne professionnelle est coupé depuis une semaine aucun retour de votre part sachant que j ai fait ma réclamation. Je suis furieux de votre service.,sc
"Bonjour
J'ai réclamé depuis mercredi et sans réaction
L'internet toujours non fonctionnel
Svp merci d'intervenir et d'envoyer un technicien pour résoudre le problème",st
"Pas de connexion depuis jeudi , facture payée merci de vérifier le plus tôt possible ; 71601657",adsl
"Bonjour , suite à l'interruption du réseau internet , j'ai lancé un appel via 1298, j'ai attendu plus que 48 heures , j'ai renouvelé l' appel nième fois mais sans aucun issue",sc
"le service technique sfax nord 74 233 246 , qui est un service indisponible , simple téléphone qui sonne et aucune réponse , façon de nous faire taire ni rien ni plus,",st
 J’ai passé deux réclamations et Personne n’est venu comme on me l’a dit.,sc
"Bonjour, je n’ai pas de connexion depuis deux jours aujourd’hui c’est le troisième jour apparemment il s’agit d’un problème à la centrale Ennasr 2.",adsl
C pas vrai j'ai un adsl et la connection ne marche pas toujours,adsl
 c la honte et personne ne répond ni par téléphone ni en agence si vous voulez pas travailler c pas la peine de nous emmerder résilier le contrat et la demande normalement c’est plus facile qu’attendre,sc
Moi aussi j'ai un problème d'internet,adsl
"Moi je pense que je vais mettre fin de contrat avec la telecom. Vous manquez de professionnalisme. J'ai fait 3 réclamations pour régler la tonalité du tel fixe qui a causé une coupure de connexion. Sachons que je suis entrain de perdre mon boulot à cause de vous puisque je fais le télétravail. Bref, je ne vais pas payer une facture sans avoir pu profiter de la connexion.... Service de merde!",sc
J'ai fait une réclamation plus qu'une semaine.,sc
"Bonjour ça fait à peu près 4 mois où j'ai déposé une demande de ligne fixe
Mais suite à un problème technique de vos travaux incomplets on arrive pas à me joindre au réseau
Déjà vous avez l'exclusivité des ligne fixe et vous ne pouvez pas assurer les travaux une personne comme moi qu'est ce qu'elle fait mettez vous à ma place sans communication sans internet vraiment je vous sollicite de bien vouloir prendre ma plainte au sérieux",st
Pourquoi je n'arrive pas à payer mes factures à travers le site tunisietelecom par carte bancaire comme d'habitude ??,ef
2 fois je fait la demande par mail pour Vdsl 30 puis 50 mais aucune réactivité. Je possède actuellement adsl 8mega au 72279211,sc
 internet fixe au lieu de 10 mbps si vous recevez 1 ou 2 mbps,adsl
"Tunisie Telecom on attend depuis 6 mois l’installation d’une ligne téléphonique,bravo ,toujours rien à ce jour et pas de réponses a priori ils ont dit ils ont fait appel d’offres pour l’installation du nouvel immeuble hhh",st
La connection chez moi est movaise,adsl
 j'ai passé une réclamation depuis deux mois mais aucune réponse jusqu'à aujourd'hui,sc
Connexion médiocre!,adsl
"J'ai une idée sur la rapidité de TT pour activer ma ligne. On me fait patienter 48h chaque fois que j'appelle le service client ou lorsque je passe à l'agence
Depuis deux mois j'attends l'activation",sc
honte a vs a votre service technique..10 réclamations et un mois d attente.. et tjrs pas de solution,st
"Service nul et médiocre!!! Internet je paye abonnement 20 méga , je trouve 4.5 méga!!!",adsl
Bonjour.j arrive pas a recharger mon ligne via efacture . Quel est le problème sachant que j'ai du solde dans ma carte bancaire,ef
Service médiocre !!! Ça fait plus de 6 semaines que j'attends une activation de ligne !!!,sc
Tel et internet ma9sousa plus que 3 jours,adsl
"Tunisie Telecom m'a résilier la ligne ADSL par erreur. Le service technique n'a pas reçu l'information que j'ai réglé mes factures et ils m'ont facturé des frais supplémentaires.
Vous m'avez dit qu'un technicien va venir, mais jusqu'à aujourd'hui personne n'intervient.",st
Après une coupure internet il y a quelques jours la connexion est revenu mais j'ai 8 méga dans les paramètres du routeur au lieu de mon offre de 10 méga (waffi).,adsl
Mauvaise connexion pour topnet  feriana kasserine,adsl
Connection zero top net tozeur,adsl
" le service de technique de Tunisie télécom est en grève , tout est bloque a la Marsa",st
"j'aime pas démarrer la discussion avec une déception. mais malheureusement c le cas avec Tunisie Telecom. voilà j'ai fait une réclamation depuis le 22 août 2020 pour le dérangement d'une ligne téléphonique. dommage, pas de réaction seulement des promesses et voilà nous avons enregistré votre réclamation.",sc
"Je travaille à la maison et jai besoin d'internet.
J'ai deux semaines entrain d'attendre la ligne ??????",adsl
J'ai un à abonnement adsl de 8 mega et j'en reçois qu'environ 2 mega.,adsl
chaque semaine une réclamation un grand retard pour résoudre les problèmes techniques,st
Paiement en ligne ne marche pas,ef
"J'ai fait une demande dans votre service depuis 15 jours .. sans recevoir aucune response jusqu'a ce jour .. je veux connaitre la cause de cette attente , si non on va annule cette demande .",sc
j'appelle 1298 sans aucune suite !!!!,sc
Depuis octobre 2015 je rencontre le problème de connexion de l'adsl(déconnexion sans cesse),adsl
"Malgré des visite de votre technicien, des visite de technicien de topnet dernière(05/01/17) le problème existe tjr",st
je contacte le service clients qui fait des réclamations sur les réclamations sans réponses et toujours pas de réponses,sc
zero professionnalisme pour le service client,sc
C'est un service nuuuuuul nuuuuuul jai fait plus de 50 réclamations pour profiter du forfait partagé ça fait 5 mois que j'attends.....toujours rien…,sc
Merci hier une intervention pour corriger une faiblaisse de débit en moins de deux heures et tout est rentré dans l'ordre,st
Y-t-il un problème géneral de coupure de connexion depuis septembre sur la région de nouvelle médina et yasminet?. Prière nous éclairer.,adsl
Réseau zone AFH cité Wafa Nabeul une catastrophe,adsl
Connexion faible faible faible faible,adsl
 j'ai demandé le service technique plusieurs fois mais pas de réponse dommage,st
Une intervention de réparation de l'adsl dans une ligne avec tonalité normale prend plus de 10 jours -c'est honteux-,st
"Une réclamation qui date de plus de un mois non encore traitée !!!!!
Déception....déception...déception",sc
ma réclamation demeure sans réponse que se passe-t-il. On ne sait rien service médiocre,sc
Une réclamation qui date de plus de un mois non encore traitée !!!! 71221504,sc
un mois pas de tonalité !et 9 jours sans ADSL ! ADSL n'a pas fonctioné même pas 2 semaine les derniers 30 jours !,adsl
"bjr, ça fait 2 jours que j'essaie de vous contacter sur le 1298, mais sans réponse c'est toujours 'attendez , entrain de vous répondre, trop de communication pour le moment.. . avez vous un N° fixe pour pouvoir vous joindre",sc
j'ai fait une demande de ligne fixe depuis le 19/10/2015 a l'agence menzel bourguiba il m'ont dit ca va prendre 3 jours . aujourd'hui c'est le 04/11/2015 il me disent les technicien sont en congé est ce que c'est normal ce que vous faites????????,st
"Bonjour Tunisie Télécom, votre seul et unique technicien qui s'occupe de la région du Lac II est venu pour ""normalement"" nous installer la ligne et puis il a demandé qu'on lui verse un pot-de-vin ( donner un pourboire) pour ne pas dire autre chose... Quand nous avons refusé, il a jeté les fils par terre et il est parti! Trouvez-vous cela normal?",st
J'ai réclamé aujourdhui pour le faible débit de rapido fibre optique prévu avoir un débit de 20 mais on a eu la moitié . Même pour des solutions supposé innovante et sans soucis tunisie telecom insiste a garder ses habitudes,adsl
Service client depuis hier saturé et le client qui paie ses factures et ne bénéficie pas de connexion internet? Il fait quoi?!,sc
service paiement via net ne fonctionne pas depuis hier... comment faire?????,ef
J’ai réclamé un problème de débit depuis 2 mois... rien!!! Maintenant déjà 3 jours sans internet on a appelé TOUT LE MONDE et la réponse est : les techniciens sont une sous’ traitance donc on ne vous garantit pas qu’ils vont se déplacer...donc bien sûr Rien de rien!!!,st
"Bonjour
Des réclamations sans suite
Encore plus J'ai fait une relance depuis le web, encore rien.
Plutôt pire encore il clôture la réclamation sans rien faire ...puuuf",sc
debit presque 0 pendant plus d une semaine et le technicien me répond qu on ne peut rien faire il faut attendre l 'entrepreneur pour faire les réparations,st
"BONOJUR TT
MON CONNEXION VDSL 20 MEGA WAFFI NE MARCHE PAS DEPUIS LE JOUR OU JAI PRIS MON MODEM DONC, DEPUIS LE 16 OCTOBRE 2020",adsl
"votre service technique est nul !
j'ai reçu le modem depuis le 2 septembre et j'attends toujours l'activation de la ligne telephonique (même pas l'internet!!!!)
suite à un contact direct avec l'agence, on me disait qu'une équipe se déplacerai le jours même pour vérification de l'installation, mais vous pouvez imaginer le reste de l'histoire ...",st
SVP une demande ADSL WAFFI depuis MAI 2029 et aucune réponse jusqu'à nos jours : demande en attente jusqu'à quand,sc
"C'est pas sérieux de tout les réclamations se poursuivent depuis plus de 04 mois aucune suite et aucune réaction.
Donc vous êtes des menteurs et c'est tout pour ne pas dire autre chose.",sc
"Bonjour j’ai une réclamation depuis le 08.Aout !!!!! Aucune réponse , aucune réaction , les bureau technique fermer , les téléphones personne ne répond : LA HONTE WALLAH",st
DEPUIS UN MOIS NOUS VOUS DEMANDONS DE PARVENIR DE REGLER LA PANNE DE LA LIGNE 74229197 ET JUSQUA CE JOUR PAS DE REPONSE,sc
4 réclamations et aucune intervention ! Des déplacements sur place pour nous dire que ceci est le service commercial et que vous n'avez aucune relation avec le service technique de la région! On paye de l'argent pour qui alors ?!,st
"J'ai réclamé depuis plus q'un mois maintenant pour avoir une ligne téléphonique, mais toujours pas de réponse, vous vous moquez des gens ou quoi?? je peux savoir ce qui vous empêche de faire votre travail et pourquoi mettez-vous autant de temps à traiter les réclamations de vos clients!! vraiment jamais vu!! service mediocre.",sc
"J'ai réclamé depuis plus q'un mois maintenant pour avoir une ligne téléphonique, mais toujours pas de réponse, vous vous moquez des gens ou quoi?? je peux savoir ce qui vous empêche de faire votre travail et pourquoi mettez-vous autant de temps à traiter les réclamations de vos clients!! vraiment jamais vu!! service mediocre.",sc
"Toujours service nul, vous m'avez envoyé un message pour récupérer le modem de mon pack ADSL alors que la ligne internet en dehors de ma maison est inexistante, je n'ai eu même pas un technicien de vous chez moi, aucun câble branché à l'extérieur de ma maison, c'est à dire à la boîte de l'internet qui se trouve à côté de ma maison, aucune trace. J'ai essayé de réclamer auprès de votre boutique de Rue du Ghana au passage et la conseillère qui bien évidemment était complètement incompétente et incapable de gérer ce genre de soucis. Vraiment c nul. Service mauvais, service technique 0, et des conseillères qui ne savent pas communiquer avec les clients ni même comprendre les problèmes et les anomalies et savoir expliquer et entendre. Et en fin du mois vous demandez le paiement du service.
Mais quel service !!!! Et quelle société !!!!",st
"j attend toujours l intervention du service technique apres 100 reclamations, toujours aucun retour!! apprenez a fidéliser vos clients!!!",st
"Réclamation men Juin w aujourd'hui selon votre service clients ""la réclamation n'a pas encore traitée"".",sc
"Ma demande d’une ligne fixe et internet date du 14/05/2020, aucune réponse",sc
J ai voulu payer mes factures par internet mais vainement,ef
